                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2429,                 2.5263,                 2.6088,                0.50178,                0.29762,                0.30256,                0.11543,                 2.1466,                 2.5636,                 2.6215,               0.000911,               0.000911,               0.000911
                     36,                 2.1581,                 2.4726,                 2.5711,                0.44856,                0.33333,                0.33534,                0.10345,                 2.1315,                 2.6315,                 2.6058,               0.000878,               0.000878,               0.000878
                     37,                 2.2673,                 2.4765,                 2.6194,                0.39748,                0.34524,                0.31198,                0.11847,                 2.1851,                 2.4584,                 2.6206,               0.000845,               0.000845,               0.000845
                     38,                  2.232,                 2.4755,                 2.5936,                0.36361,                0.38775,                0.30406,                0.12413,                 2.0889,                 2.4205,                 2.6004,               0.000812,               0.000812,               0.000812
                     39,                 2.1796,                 2.5145,                  2.566,                0.38229,                0.42857,                0.26243,                0.10155,                 2.0757,                 2.5455,                 2.5814,               0.000779,               0.000779,               0.000779
                     40,                 2.1991,                 2.4694,                 2.5767,                0.38908,                0.38095,                0.31217,                0.09748,                 2.1642,                 2.5644,                 2.6029,               0.000746,               0.000746,               0.000746
                     41,                 2.1489,                 2.4219,                 2.5217,                0.39573,                0.38095,                0.31896,                0.13125,                 2.1681,                 2.4466,                 2.6045,               0.000713,               0.000713,               0.000713
                     42,                 2.1794,                 2.4319,                 2.5414,                0.42045,                0.41667,                0.33478,                0.13029,                 2.1677,                 2.4423,                 2.6135,                0.00068,                0.00068,                0.00068
                     43,                 2.1394,                 2.3702,                  2.532,                0.46925,                0.41667,                0.36501,                0.15088,                 2.0152,                 2.3487,                 2.5493,               0.000647,               0.000647,               0.000647
                     44,                 2.1203,                 2.3136,                 2.5141,                 0.5054,                0.45012,                0.43404,                 0.1875,                 2.0005,                 2.2609,                  2.513,               0.000614,               0.000614,               0.000614
                     45,                 2.1458,                 2.3703,                 2.5195,                0.52424,                0.38043,                0.39866,                0.17476,                 2.0571,                 2.4664,                 2.5971,               0.000581,               0.000581,               0.000581
                     46,                 2.1273,                 2.3902,                 2.4881,                0.69027,                0.41667,                0.46897,                 0.2135,                 1.9532,                 2.3083,                  2.476,               0.000548,               0.000548,               0.000548
                     47,                 2.1479,                 2.3184,                 2.5142,                0.45251,                 0.3444,                0.29868,                0.11975,                 2.0392,                 2.5005,                 2.5375,               0.000515,               0.000515,               0.000515
                     48,                 2.0994,                 2.2937,                 2.4531,                0.41783,                0.42857,                0.35168,                0.14873,                 1.9376,                 2.3371,                 2.4647,               0.000482,               0.000482,               0.000482
                     49,                  2.125,                  2.335,                  2.483,                0.38624,                0.41667,                0.38368,                0.16878,                 1.9588,                 2.2453,                 2.4684,               0.000449,               0.000449,               0.000449
                     50,                 2.0785,                 2.2927,                 2.4657,                0.47523,                0.40476,                0.37801,                0.16192,                 2.0029,                 2.2455,                 2.4959,               0.000416,               0.000416,               0.000416
                     51,                 2.1385,                 2.5193,                 2.5096,                0.55704,                0.44048,                0.46411,                0.19755,                  1.965,                 2.2213,                 2.4374,               0.000383,               0.000383,               0.000383
                     52,                 2.1399,                 2.3779,                  2.509,                0.56348,                0.38422,                0.44748,                 0.1962,                 1.9561,                 2.2162,                 2.4392,                0.00035,                0.00035,                0.00035
                     53,                 2.0711,                 2.2931,                 2.4389,                0.54195,                0.35714,                0.39829,                0.18999,                 1.8587,                 2.2775,                 2.3466,               0.000317,               0.000317,               0.000317
                     54,                 2.1107,                 2.2675,                 2.4567,                0.55344,                0.38364,                0.41409,                0.19163,                 1.8767,                 2.1677,                 2.3794,               0.000284,               0.000284,               0.000284
                     55,                 2.1125,                 2.2259,                 2.4503,                0.57518,                0.47619,                0.47346,                0.20025,                 1.9395,                 2.1322,                 2.4209,               0.000251,               0.000251,               0.000251
                     56,                 2.0796,                 2.1802,                 2.4463,                 0.5722,                0.46429,                0.51509,                0.23537,                 1.8683,                 2.0928,                 2.3646,               0.000218,               0.000218,               0.000218
                     57,                 2.0468,                  2.163,                  2.409,                0.56003,                0.40476,                0.49148,                0.22898,                 1.8415,                 2.1515,                 2.3382,               0.000185,               0.000185,               0.000185
                     58,                 2.0573,                 2.1484,                 2.4021,                0.57061,                0.47619,                0.51482,                0.22891,                  1.871,                 2.1146,                 2.3402,               0.000152,               0.000152,               0.000152
                     59,                 2.0578,                 2.1717,                 2.4269,                0.57408,                0.46429,                 0.5086,                0.22959,                 1.8843,                 2.0981,                 2.3457,               0.000119,               0.000119,               0.000119
                     60,                 2.1067,                 2.1381,                 2.4431,                0.56872,                0.45238,                0.50358,                0.23755,                 1.8402,                 2.0721,                 2.3276,                8.6e-05,                8.6e-05,                8.6e-05
