                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 2.7064,                 3.1225,                 3.0463,                0.21111,                0.16125,                0.11534,                0.02488,                 3.3113,                 4.3324,                 3.4817,               0.001736,               0.001736,               0.001736
                     15,                 2.6144,                 3.1371,                  3.013,                 0.1239,                0.26506,                0.06963,                0.01876,                 3.0633,                 3.5328,                 3.1421,               0.001714,               0.001714,               0.001714
                     16,                  2.605,                 3.0577,                 2.9849,                0.16714,                 0.3012,                0.14463,                0.04844,                 2.8984,                 3.1475,                 3.1256,               0.001692,               0.001692,               0.001692
                     17,                 2.6382,                 3.0642,                 2.9738,                0.11616,                0.18072,                0.07401,                0.01932,                 2.8155,                 3.6363,                 2.9546,                0.00167,                0.00167,                0.00167
                     18,                 2.6055,                 3.0183,                 2.9211,                0.07271,                0.07229,                0.04105,                0.00863,                 2.9534,                 3.4977,                 3.0812,               0.001648,               0.001648,               0.001648
                     19,                  2.507,                 2.9636,                 2.8639,                0.07193,                 0.1242,                0.03258,                0.00714,                 3.0594,                 4.5885,                 3.1475,               0.001626,               0.001626,               0.001626
                     20,                 2.5126,                  2.953,                 2.8703,                0.09985,                0.18072,                 0.0639,                0.02508,                 2.8519,                 3.0816,                 2.8956,               0.001604,               0.001604,               0.001604
                     21,                 2.4631,                 2.9416,                 2.8512,                0.10934,                0.14458,                0.07988,                 0.0259,                 2.8483,                 3.0122,                   3.11,               0.001582,               0.001582,               0.001582
                     22,                 2.4521,                 2.8302,                 2.8155,                0.08021,                0.14499,                0.07401,                0.02309,                 2.7741,                 3.6251,                 3.0393,                0.00156,                0.00156,                0.00156
                     23,                 2.3966,                 2.8413,                 2.7991,                0.10791,                0.16867,                 0.0553,                0.01754,                 2.7989,                 3.5783,                 3.0017,               0.001538,               0.001538,               0.001538
                     24,                 2.4125,                 2.8752,                 2.7985,                0.28357,                0.26506,                0.18765,                0.05947,                 2.6075,                 2.6156,                 2.8622,               0.001516,               0.001516,               0.001516
                     25,                 2.3899,                 2.7861,                 2.7707,                0.15897,                0.10843,                 0.1027,                0.03307,                 2.8895,                 2.9047,                  3.166,               0.001494,               0.001494,               0.001494
                     26,                 2.3342,                 2.6918,                 2.7466,                0.28075,                0.25301,                0.14709,                0.04414,                 2.6436,                 3.5906,                 2.9052,               0.001472,               0.001472,               0.001472
                     27,                 2.3065,                 2.7184,                  2.736,                0.28933,                0.21687,                0.15805,                0.04113,                 2.6629,                 2.6731,                 2.9112,                0.00145,                0.00145,                0.00145
                     28,                 2.3888,                 2.7362,                 2.7656,                0.49081,                0.25301,                0.29291,                0.09655,                 2.6857,                 2.4634,                 2.9355,               0.001428,               0.001428,               0.001428
                     29,                 2.2676,                 2.6524,                 2.6815,                0.42477,                 0.3012,                0.25933,                0.09261,                  2.604,                 2.5774,                 2.7641,               0.001406,               0.001406,               0.001406
                     30,                 2.2553,                 2.6372,                 2.6856,                0.26424,                0.31325,                0.21676,                0.07943,                 2.5578,                 2.5646,                 2.8181,               0.001384,               0.001384,               0.001384
                     31,                 2.2768,                 2.6623,                 2.6723,                0.30218,                0.28916,                0.22499,                0.07238,                 2.4482,                 2.5166,                 2.6517,               0.001362,               0.001362,               0.001362
                     32,                 2.2831,                 2.6442,                 2.6684,                0.24744,                0.31325,                0.15256,                0.04746,                 2.5255,                 3.1878,                 2.7947,                0.00134,                0.00134,                0.00134
                     33,                 2.2664,                 2.5718,                 2.6434,                 0.2867,                 0.3494,                0.25433,                0.08909,                 2.5325,                 2.3376,                 2.7499,               0.001318,               0.001318,               0.001318
                     34,                 2.2748,                 2.5897,                 2.6504,                0.36803,                0.31325,                0.21906,                0.07493,                 2.7647,                 2.4749,                 2.8286,               0.001296,               0.001296,               0.001296
                     35,                 2.2306,                 2.5431,                 2.6181,                0.44814,                 0.3494,                0.35642,                0.11225,                 2.3386,                 2.1867,                 2.7239,               0.001274,               0.001274,               0.001274
                     36,                 2.1719,                 2.5377,                   2.61,                0.34467,                0.48193,                0.25988,                0.08341,                 2.3912,                 2.3158,                 2.6557,               0.001252,               0.001252,               0.001252
                     37,                 2.2356,                 2.5358,                 2.6381,                0.43839,                0.37349,                0.32195,                0.11706,                 2.4243,                 2.4024,                 2.4845,                0.00123,                0.00123,                0.00123
                     38,                 2.2136,                 2.5251,                 2.6021,                 0.2243,                 0.3012,                0.20015,                0.07215,                 2.5591,                 2.9935,                 2.6861,               0.001208,               0.001208,               0.001208
                     39,                 2.1698,                 2.5397,                 2.5703,                0.41206,                0.33735,                0.28419,                0.09167,                 2.4361,                 2.3219,                 2.6468,               0.001186,               0.001186,               0.001186
                     40,                 2.1834,                 2.5026,                 2.5749,                0.38921,                0.36145,                0.32878,                0.10932,                 2.4371,                  2.315,                 2.6941,               0.001164,               0.001164,               0.001164
                     41,                 2.1787,                  2.399,                 2.5295,                0.42988,                 0.3494,                0.35054,                0.12164,                 2.3753,                 2.1856,                  2.538,               0.001142,               0.001142,               0.001142
                     42,                 2.1869,                   2.42,                 2.5421,                0.35427,                 0.3012,                0.26038,                0.09042,                 2.3817,                 2.3305,                 2.6119,                0.00112,                0.00112,                0.00112
                     43,                 2.1407,                  2.358,                 2.5267,                0.32603,                0.31325,                0.25302,                0.08961,                 2.4937,                 2.4494,                 2.7349,               0.001098,               0.001098,               0.001098
                     44,                 2.1204,                 2.3571,                 2.5055,                0.49953,                0.39686,                0.36971,                0.13678,                 2.3854,                 2.2113,                 2.5656,               0.001076,               0.001076,               0.001076
                     45,                  2.155,                  2.399,                 2.5357,                0.53408,                0.46988,                0.44091,                0.17074,                 2.3676,                 2.1419,                 2.5634,               0.001054,               0.001054,               0.001054
                     46,                 2.1133,                 2.4146,                 2.5027,                0.51271,                0.42169,                0.39258,                   0.15,                 2.2158,                  2.208,                 2.4628,               0.001032,               0.001032,               0.001032
                     47,                 2.1485,                 2.3937,                 2.5285,                0.43767,                0.43373,                0.35749,                0.14176,                 2.2002,                 2.0642,                 2.4962,                0.00101,                0.00101,                0.00101
                     48,                 2.1226,                 2.2722,                 2.4661,                0.45778,                0.43373,                0.32785,                0.11492,                 2.3484,                 2.1343,                 2.5671,               0.000988,               0.000988,               0.000988
                     49,                 2.1098,                 2.3179,                  2.472,                0.46642,                0.45783,                0.36116,                0.14555,                 2.3513,                 2.0028,                 2.5993,               0.000966,               0.000966,               0.000966
                     50,                 2.0874,                 2.3186,                 2.4652,                0.49697,                0.44578,                0.39253,                0.13687,                 2.4104,                 2.1196,                 2.7174,               0.000944,               0.000944,               0.000944
                     51,                 2.1221,                 2.2869,                 2.4832,                0.51921,                0.48193,                0.40031,                0.14664,                 2.3224,                 2.4033,                 2.5864,               0.000922,               0.000922,               0.000922
                     52,                  2.065,                 2.2535,                  2.426,                0.52552,                0.38554,                0.41952,                0.16452,                 2.2362,                 2.1138,                 2.6339,                 0.0009,                 0.0009,                 0.0009
                     53,                 2.0641,                 2.2839,                 2.4186,                0.45702,                0.42169,                0.42832,                0.16814,                   2.31,                 2.1903,                 2.5777,               0.000878,               0.000878,               0.000878
                     54,                 2.0273,                 2.2225,                 2.4084,                0.48002,                0.46988,                 0.4305,                0.16908,                  2.215,                 1.8895,                 2.5835,               0.000856,               0.000856,               0.000856
                     55,                 2.0609,                 2.1803,                 2.3738,                0.49975,                0.49398,                0.43542,                0.15879,                 2.1869,                 1.8894,                 2.5238,               0.000834,               0.000834,               0.000834
                     56,                  2.101,                 2.2041,                 2.4117,                0.54428,                0.39759,                0.39671,                0.13499,                 2.2557,                 2.0723,                  2.463,               0.000812,               0.000812,               0.000812
                     57,                 2.0808,                 2.2079,                  2.404,                0.56158,                0.42169,                0.46435,                0.18594,                 2.2021,                 1.9987,                 2.5067,                0.00079,                0.00079,                0.00079
                     58,                 2.0375,                 2.1587,                 2.3857,                   0.51,                0.44578,                0.40228,                0.14994,                 2.1934,                 1.9572,                 2.4381,               0.000768,               0.000768,               0.000768
                     59,                 2.0216,                  2.187,                 2.4165,                0.53392,                0.49398,                0.47543,                0.19148,                 2.1552,                 1.8755,                 2.4093,               0.000746,               0.000746,               0.000746
                     60,                 2.0297,                 2.0895,                 2.3811,                0.53723,                0.46988,                0.47788,                0.20225,                 2.1858,                 1.8008,                 2.3684,               0.000724,               0.000724,               0.000724
                     61,                 2.0562,                 2.1595,                 2.3824,                0.68151,                0.45783,                0.51545,                0.21091,                 2.2403,                 1.7672,                 2.4575,               0.000702,               0.000702,               0.000702
                     62,                 2.0998,                 2.1727,                 2.3995,                0.55902,                0.40964,                0.42327,                0.16463,                 2.2956,                 2.0142,                 2.5342,                0.00068,                0.00068,                0.00068
                     63,                 2.0214,                 2.1753,                 2.3575,                0.66369,                0.42804,                0.48093,                0.21501,                 2.2636,                 1.8355,                 2.4607,               0.000658,               0.000658,               0.000658
                     64,                 1.9928,                 2.1427,                 2.3479,                0.43358,                 0.3494,                0.34519,                0.12802,                 2.3648,                 2.1172,                 2.7078,               0.000636,               0.000636,               0.000636
                     65,                 2.0226,                 2.1224,                 2.3523,                0.71259,                0.44811,                0.51304,                0.19671,                 2.3188,                 1.7958,                 2.5772,               0.000614,               0.000614,               0.000614
                     66,                 2.0181,                 2.0867,                 2.3588,                0.65145,                0.49542,                0.53691,                0.22054,                 2.1443,                 1.7858,                 2.4639,               0.000592,               0.000592,               0.000592
                     67,                 2.0361,                 2.1191,                  2.365,                0.62778,                0.52834,                0.54332,                0.24403,                    2.1,                 1.7005,                 2.3479,                0.00057,                0.00057,                0.00057
                     68,                 2.0711,                 2.1452,                 2.3644,                 0.6079,                0.46988,                0.52013,                0.22395,                 2.1265,                 1.8146,                 2.3394,               0.000548,               0.000548,               0.000548
                     69,                  1.959,                 2.1068,                 2.3188,                0.65034,                0.49398,                0.49741,                0.19478,                 2.2832,                 1.9322,                 2.7523,               0.000526,               0.000526,               0.000526
                     70,                 1.9722,                 2.0587,                 2.3453,                0.60889,                0.54217,                0.54507,                 0.2288,                 2.1839,                  1.857,                 2.6788,               0.000504,               0.000504,               0.000504
                     71,                 1.9808,                 2.0811,                 2.3631,                0.67082,                0.46654,                0.53128,                 0.2278,                 2.2895,                 1.7425,                 2.4988,               0.000482,               0.000482,               0.000482
                     72,                 1.9963,                  2.033,                 2.3559,                0.68332,                0.46988,                0.47404,                0.18542,                 2.3302,                 1.7955,                 2.6888,                0.00046,                0.00046,                0.00046
                     73,                 1.9659,                 2.0094,                 2.3359,                0.61419,                0.51786,                0.56964,                 0.2212,                 2.3364,                 1.6793,                 2.4755,               0.000438,               0.000438,               0.000438
                     74,                 1.9987,                 2.1017,                 2.3518,                0.56541,                0.48193,                0.45033,                0.19327,                 2.1795,                 1.7828,                 2.5809,               0.000416,               0.000416,               0.000416
                     75,                 1.9246,                 2.0458,                 2.3197,                0.60767,                0.53012,                0.54839,                 0.2288,                 2.0669,                 1.8511,                 2.3021,               0.000394,               0.000394,               0.000394
                     76,                 1.9148,                 2.0538,                 2.3272,                0.64303,                0.53012,                0.57573,                0.25424,                 2.0792,                 1.8014,                 2.3025,               0.000372,               0.000372,               0.000372
                     77,                 1.9901,                 2.0436,                 2.3016,                0.65233,                0.47477,                0.53825,                0.24684,                 2.0933,                  1.811,                 2.2908,                0.00035,                0.00035,                0.00035
                     78,                 1.9677,                 2.0258,                 2.3079,                 0.7559,                0.50602,                0.57694,                0.24771,                 2.1738,                 1.6367,                 2.3758,               0.000328,               0.000328,               0.000328
                     79,                 1.9962,                 2.0166,                 2.3082,                0.66952,                0.51263,                0.58474,                0.24312,                 2.0762,                 1.7091,                 2.3028,               0.000306,               0.000306,               0.000306
                     80,                 1.9465,                  1.991,                  2.264,                0.63157,                0.53012,                0.57101,                0.24312,                 2.1029,                 1.6866,                 2.3367,               0.000284,               0.000284,               0.000284
                     81,                 1.9559,                 2.2399,                 2.3447,                0.83246,                0.44578,                0.57977,                0.25112,                 2.0823,                 1.6014,                 2.3512,               0.000262,               0.000262,               0.000262
                     82,                 1.9443,                 2.0825,                 2.3732,                0.66924,                0.45783,                0.55623,                0.25448,                  2.058,                 1.6142,                  2.421,                0.00024,                0.00024,                0.00024
                     83,                  1.959,                 2.0177,                 2.3532,                0.65052,                0.49398,                0.57399,                0.24551,                  2.117,                  1.691,                 2.4382,               0.000218,               0.000218,               0.000218
                     84,                 1.9826,                  1.975,                 2.3588,                0.70529,                0.51807,                0.57892,                  0.245,                 2.1088,                 1.6883,                 2.4438,               0.000196,               0.000196,               0.000196
                     85,                 1.8874,                 1.9381,                 2.2882,                0.69743,                 0.5277,                 0.6103,                0.25668,                 2.0767,                 1.6575,                 2.3646,               0.000174,               0.000174,               0.000174
                     86,                 1.9017,                 1.9186,                 2.2654,                0.76692,                0.51541,                0.59632,                0.25478,                 2.1594,                 1.6663,                 2.4174,               0.000152,               0.000152,               0.000152
                     87,                 1.9025,                 1.8749,                 2.2908,                0.77382,                0.50602,                0.59657,                0.24412,                 2.1646,                 1.6448,                 2.4276,                0.00013,                0.00013,                0.00013
                     88,                 1.8702,                 1.9223,                 2.2759,                0.77757,                0.50542,                0.61336,                0.26087,                 2.1128,                 1.6316,                 2.3888,               0.000108,               0.000108,               0.000108
                     89,                 1.8963,                 1.8586,                 2.2708,                0.76161,                0.51807,                0.63551,                0.27733,                 2.0859,                 1.5929,                 2.3655,                8.6e-05,                8.6e-05,                8.6e-05
                     90,                 1.8633,                 1.8598,                 2.3014,                0.71672,                0.51821,                0.63177,                0.27564,                 2.0574,                 1.5956,                 2.3397,                6.4e-05,                6.4e-05,                6.4e-05
