                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3237,                 3.7028,                 4.2352,                0.00274,                0.59036,                 0.0147,                0.00438,                 3.8757,                 4.0323,                   4.15,                 0.0004,                 0.0004,                 0.0004
                      2,                 3.3169,                 3.5943,                 4.0987,                0.00275,                0.60241,                0.02014,                0.00549,                 3.7112,                 3.8494,                 4.0522,             0.00081098,             0.00081098,             0.00081098
                      3,                 3.2145,                 3.5236,                 3.9027,                 0.0026,                0.56627,                 0.0096,                 0.0027,                 4.1039,                  4.043,                 4.3237,              0.0012127,              0.0012127,              0.0012127
                      4,                 3.1112,                 3.4204,                 3.6813,                0.00725,                0.40964,                0.04331,                 0.0167,                 4.0153,                 4.6001,                 4.6559,              0.0016052,              0.0016052,              0.0016052
                      5,                 2.9733,                 3.4439,                 3.5123,                0.02748,                0.06024,                0.00723,                0.00205,                  3.588,                 3.8382,                 4.0784,               0.001912,               0.001912,               0.001912
                      6,                 2.9562,                 3.3814,                 3.4114,                0.03429,                0.04819,                0.01689,                0.00443,                 4.2907,                 3.9414,                 4.6123,               0.001912,               0.001912,               0.001912
                      7,                 2.9674,                 3.3951,                 3.3566,                0.03912,                0.08434,                0.01898,                0.00448,                 3.3051,                 3.7422,                 3.6876,                0.00189,                0.00189,                0.00189
                      8,                 2.8596,                 3.3231,                 3.2629,                0.07449,                0.10843,                0.04258,                0.00815,                 3.3232,                 13.642,                 4.0283,               0.001868,               0.001868,               0.001868
                      9,                 2.8238,                 3.2393,                 3.1857,                0.02004,                0.24096,                0.01173,                0.00305,                 3.2887,                 15.162,                 4.3052,               0.001846,               0.001846,               0.001846
                     10,                 2.7604,                 3.2046,                 3.1268,                0.03498,                0.15663,                0.01883,                0.00495,                 3.2481,                 10.365,                 3.7133,               0.001824,               0.001824,               0.001824
                     11,                 2.7268,                 3.2061,                  3.121,                0.05536,                0.18072,                0.03258,                0.00882,                 3.0915,                 23.136,                 3.5335,               0.001802,               0.001802,               0.001802
                     12,                 2.7047,                 3.2039,                 3.0934,                0.06812,                0.22892,                0.05069,                0.01291,                 3.1166,                 4.8102,                 3.4366,                0.00178,                0.00178,                0.00178
                     13,                 2.6845,                 3.1114,                 3.0709,                0.15454,                0.26506,                0.07427,                0.01827,                 2.9831,                 3.3834,                 3.1386,               0.001758,               0.001758,               0.001758
