                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3237,                 3.7028,                 4.2352,                0.00304,                0.63095,                  0.012,                0.00357,                 3.1685,                 4.0159,                 4.1498,                 0.0004,                 0.0004,                 0.0004
                      2,                 3.3144,                 3.5928,                 4.0985,                0.00309,                0.65476,                0.02445,                0.00634,                 3.0848,                 3.9495,                 4.0883,             0.00080376,             0.00080376,             0.00080376
                      3,                 3.2443,                 3.5307,                 3.9133,                0.00289,                0.60714,                0.00909,                0.00262,                 3.3639,                 3.9245,                 4.3051,              0.0011909,              0.0011909,              0.0011909
                      4,                 3.0917,                 3.4458,                 3.6952,                0.00326,                0.58333,                0.00851,                0.00224,                 3.5297,                 3.9047,                  4.438,              0.0015614,              0.0015614,              0.0015614
                      5,                 2.9649,                 3.4235,                 3.5148,                0.04689,                0.29762,                0.04829,                0.01176,                 3.2379,                   3.66,                 3.8297,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.9383,                 3.3988,                 3.4294,                0.05703,                0.07143,                 0.0357,                0.01318,                 3.0966,                 3.5673,                 3.8538,              0.0018416,              0.0018416,              0.0018416
                      7,                 3.0036,                 3.3612,                  3.365,                0.10199,                0.10008,                0.04633,                0.01614,                 2.7434,                 3.8312,                 3.3928,               0.001802,               0.001802,               0.001802
                      8,                  2.905,                 3.3446,                 3.3038,                0.11102,                0.09524,                0.02722,                0.00799,                 2.8339,                 5.7214,                 3.6068,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.9059,                 3.2735,                 3.2048,                0.09448,                0.13095,                0.05612,                0.01662,                 2.7581,                 11.188,                 3.3211,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.8153,                 3.1877,                 3.1572,                    0.1,                0.11905,                0.03391,                 0.0107,                 2.6324,                 4.0576,                 3.1984,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.7565,                 3.2273,                 3.1171,                 0.0387,                0.20238,                 0.0242,                0.00655,                 2.6456,                 5.4043,                 3.2108,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.7363,                 3.2142,                  3.101,                0.11059,                0.09524,                0.03979,                 0.0125,                 2.7439,                 11.758,                 3.3927,               0.001604,               0.001604,               0.001604
                     13,                 2.7072,                 3.1317,                 3.0702,                0.06777,                0.03571,                0.06449,                 0.0216,                 2.5963,                 3.6077,                 3.0794,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.7269,                 3.1356,                 3.0542,                0.01969,                 0.2381,                 0.0242,                0.00564,                 2.7578,                 3.7228,                 3.4032,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.6719,                 3.1231,                 3.0156,                0.08758,                0.38095,                0.08353,                0.02073,                 2.6122,                  3.268,                 3.2492,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.5695,                 3.0387,                 2.9416,                0.06796,                0.41667,                0.12179,                0.04087,                 2.4884,                 3.9038,                 2.9845,              0.0014456,              0.0014456,              0.0014456
                     17,                  2.631,                  3.021,                 2.9609,                0.03333,                0.17857,                0.03529,                0.01095,                 2.4813,                 5.3842,                 3.0341,               0.001406,               0.001406,               0.001406
                     18,                 2.5672,                 3.0076,                 2.9063,                0.13791,                0.21429,                0.11249,                0.03253,                 2.5399,                 3.2937,                 3.0869,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.5043,                 2.9898,                 2.8808,                0.13616,                0.13095,                0.07391,                 0.0203,                 2.5265,                 3.2511,                 3.0606,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.5304,                 2.9601,                 2.8933,                0.25404,                0.08115,                0.09925,                0.03453,                 2.5379,                 3.1595,                 3.1124,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.4717,                 2.8979,                 2.8196,                0.16022,                0.20238,                 0.0801,                0.02815,                 2.4286,                 3.1198,                 2.9287,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.4814,                 2.8347,                 2.8226,                0.15044,                 0.2381,                0.12936,                 0.0486,                 2.3482,                 3.1191,                 2.8666,               0.001208,               0.001208,               0.001208
                     23,                 2.4149,                 2.8605,                 2.8213,                0.25167,                0.33333,                0.15738,                0.05102,                 2.3486,                 2.9422,                 2.8977,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.4595,                 2.8655,                 2.8252,                0.32553,                0.16667,                0.19871,                0.06668,                 2.3822,                 3.0713,                 2.9126,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.4233,                 2.7592,                 2.7675,                0.10405,                0.19048,                0.06539,                0.02289,                 2.3749,                 3.7197,                 2.8587,              0.0010892,              0.0010892,              0.0010892
                     26,                  2.373,                 2.6961,                 2.7472,                0.30702,                0.29762,                0.18992,                0.05994,                 2.2614,                  3.569,                 2.7612,              0.0010496,              0.0010496,              0.0010496
                     27,                  2.335,                  2.695,                 2.7197,                0.33558,                0.21429,                0.19456,                0.05916,                 2.3085,                 3.0709,                 2.7367,                0.00101,                0.00101,                0.00101
                     28,                 2.3401,                 2.6774,                 2.7223,                0.24176,                0.25435,                0.13374,                0.04282,                  2.303,                  3.103,                 2.7584,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.3088,                 2.6359,                 2.6867,                0.31734,                 0.2712,                0.25552,                0.09178,                 2.2536,                 2.7521,                 2.7563,              0.0009308,              0.0009308,              0.0009308
                     30,                  2.278,                   2.62,                 2.6632,                0.32095,                0.32143,                0.26302,                0.09645,                 2.1896,                 2.7442,                  2.736,              0.0008912,              0.0008912,              0.0008912
                     31,                 2.3169,                 2.6298,                 2.6774,                0.33687,                 0.3387,                0.27694,                0.10293,                 2.1821,                 2.7031,                 2.7744,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.2775,                 2.5948,                 2.6441,                 0.3249,                0.44048,                0.25523,                   0.09,                 2.1672,                 2.7439,                 2.7105,               0.000812,               0.000812,               0.000812
                     33,                   2.27,                 2.5651,                 2.6475,                0.31745,                0.35714,                0.24601,                0.08369,                 2.1508,                 2.7262,                 2.6567,              0.0007724,              0.0007724,              0.0007724
                     34,                 2.2827,                 2.5883,                 2.6284,                0.30147,                0.32143,                0.25804,                0.10261,                 2.1216,                  2.634,                 2.6453,              0.0007328,              0.0007328,              0.0007328
                     35,                 2.2241,                 2.5297,                 2.5747,                0.39195,                 0.2993,                0.29709,                 0.1105,                 2.1346,                 2.5603,                 2.6333,              0.0006932,              0.0006932,              0.0006932
                     36,                  2.139,                 2.4919,                  2.567,                0.26459,                0.33333,                0.27483,                0.09537,                 2.2022,                 2.5718,                 2.6663,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.2671,                  2.501,                 2.6234,                0.36415,                0.34093,                0.29449,                 0.1139,                 2.1273,                 2.5688,                 2.6382,               0.000614,               0.000614,               0.000614
                     38,                 2.2146,                 2.4806,                 2.5744,                0.26942,                0.35714,                 0.2593,                 0.0969,                 2.1289,                 2.5576,                   2.67,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.1326,                 2.5062,                 2.5367,                0.45704,                0.44048,                0.34376,                 0.1306,                 2.0908,                 2.5013,                 2.6204,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.1885,                 2.4592,                 2.5675,                0.34156,                0.33333,                0.24522,                0.09181,                 2.1066,                 2.6293,                 2.5832,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.2268,                 2.7633,                 2.6166,                0.42916,                0.38095,                0.35615,                0.14707,                 1.9867,                 2.4356,                 2.5339,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.1678,                 2.5205,                 2.5751,                0.40877,                0.39286,                0.33304,                0.15436,                 2.0035,                 2.4589,                 2.5976,               0.000416,               0.000416,               0.000416
                     43,                 2.1827,                 2.4378,                 2.5379,                0.53064,                0.35714,                0.38776,                0.15575,                 2.0583,                 2.4231,                  2.597,              0.0003764,              0.0003764,              0.0003764
                     44,                   2.15,                 2.4058,                 2.5429,                0.50618,                0.40476,                0.39964,                0.17137,                 1.9702,                 2.4049,                 2.5082,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.1553,                 2.3665,                 2.5212,                0.48273,                0.32219,                 0.3644,                0.16005,                 1.9396,                  2.407,                 2.4877,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.1332,                 2.3684,                 2.5469,                0.46055,                0.34557,                0.36412,                0.16137,                 1.9392,                 2.3663,                 2.4764,              0.0002576,              0.0002576,              0.0002576
                     47,                  2.129,                  2.336,                 2.5037,                0.49109,                0.42857,                0.41182,                 0.1752,                  1.938,                 2.3417,                 2.4842,               0.000218,               0.000218,               0.000218
                     48,                 2.0841,                 2.3174,                  2.513,                0.59186,                0.39711,                0.46765,                0.22403,                 1.9039,                 2.2763,                  2.461,              0.0001784,              0.0001784,              0.0001784
                     49,                 2.1528,                 2.3087,                 2.4982,                 0.5469,                0.45985,                 0.4555,                0.21277,                 1.9468,                  2.292,                 2.4763,              0.0001388,              0.0001388,              0.0001388
                     50,                 2.1092,                 2.2721,                  2.498,                0.53259,                0.44048,                0.44072,                0.20376,                 1.9385,                  2.283,                 2.4644,               9.92e-05,               9.92e-05,               9.92e-05
